total_points,minutes,goals_scored,assists,clean_sheets,influence,creativity,threat,ict_index,bonus,bps,value_season,yellow_cards,red_cards,saves,penalties_missed,own_goals,goals_conceded,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,goal_contrib,goals_per90,assists_per90,contrib_per90,points_per90,points_per_minute,points_per_million,position_Forward,position_Goalkeeper,position_Manager,position_Midfielder,team_name_Aston Villa,team_name_Bournemouth,team_name_Brentford,team_name_Brighton,team_name_Chelsea,team_name_Crystal Palace,team_name_Everton,team_name_Fulham,team_name_Ipswich,team_name_Leicester,team_name_Liverpool,team_name_Man City,team_name_Man Utd,team_name_Newcastle,team_name_Nott'm Forest,team_name_Southampton,team_name_Spurs,team_name_West Ham,team_name_Wolves
0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,600,3,2,2,154.4,119.5,255.0,52.6,6,152,6.5,4,0,0,0,0,5,3.05,0.52,3.57,5.82,5,0.44999999999999996,0.3,0.75,6.3,0.07,6.461538461538462,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,2363,3,2,10,584.6,208.8,287.0,108.2,9,459,19.2,4,0,0,0,0,22,2.7,1.21,3.91,23.09,5,0.11426153195090985,0.0761743546339399,0.19043588658484975,4.456199746085485,0.04951333051206094,6.09375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,1872,9,3,7,467.6,269.0,711.0,144.8,14,343,12.6,5,0,0,0,0,20,9.53,1.65,11.18,19.32,12,0.43269230769230765,0.14423076923076922,0.5769230769230769,4.663461538461538,0.05181623931623932,7.698412698412699,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114,2415,1,3,11,393.0,296.8,254.0,94.2,9,426,20.7,7,0,0,0,0,21,1.23,1.3,2.53,21.09,4,0.037267080745341616,0.11180124223602485,0.14906832298136646,4.248447204968945,0.04720496894409938,5.507246376811595,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,701,0,0,2,44.8,88.8,8.0,14.2,0,112,4.3,5,0,0,0,0,7,0.06,0.59,0.65,6.05,0,0.0,0.0,0.0,2.5677603423680457,0.028530670470756064,4.651162790697675,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,1117,1,0,3,267.2,91.3,32.0,39.2,2,178,8.8,1,0,0,0,0,15,0.17,0.29,0.46,14.71,1,0.08057296329453895,0.0,0.08057296329453895,3.4646374216651745,0.03849597135183527,4.886363636363636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125,2284,8,4,10,559.8,587.8,912.0,206.1,6,422,19.2,1,0,0,0,0,25,7.13,4.46,11.59,26.22,12,0.3152364273204904,0.1576182136602452,0.4728546409807356,4.925569176882663,0.05472854640980736,6.510416666666667,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,882,4,2,4,293.2,282.8,255.0,83.0,4,251,15.3,1,0,0,0,0,4,1.19,1.78,2.97,5.38,6,0.4081632653061224,0.2040816326530612,0.6122448979591836,6.73469387755102,0.07482993197278912,4.313725490196078,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,2321,3,9,11,524.6,968.7,493.0,198.8,11,529,14.1,4,0,0,0,0,21,4.85,6.68,11.53,22.16,12,0.11632916846186989,0.3489875053856097,0.46531667384747954,4.498061180525636,0.04997845756139595,8.22695035460993,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
142,3420,0,0,13,755.4,10.7,0.0,76.7,10,555,25.4,3,0,86,0,0,34,0.0,0.03,0.03,35.03,0,0.0,0.0,0.0,3.736842105263158,0.04152046783625731,5.590551181102363,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,2823,4,7,11,733.0,959.6,399.0,208.8,17,627,20.2,5,1,0,0,0,29,3.51,5.64,9.14,27.13,11,0.1275239107332625,0.22316684378320936,0.35069075451647186,4.048884165781084,0.044987601842012045,6.287128712871287,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,1724,6,11,7,606.0,842.8,830.0,227.9,18,508,12.2,3,0,0,0,0,21,6.87,7.78,14.65,17.72,17,0.3132250580046404,0.574245939675174,0.8874709976798144,6.629930394431555,0.07366589327146171,10.40983606557377,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
130,3039,2,0,12,672.6,150.1,116.0,94.2,14,564,20.3,2,1,0,0,0,29,2.42,1.28,3.7,30.32,2,0.059230009871668314,0.0,0.059230009871668314,3.8499506416584404,0.04277722935176045,6.403940886699507,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
