can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,predicted_points
True,False,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,163,0,1,False,16,69,54,376,0.0,False,223,0.0,False,,4,1,3,439,0,2825,0,0,0.0,254,,409,618,False,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,795,343,795,343,791,341,795,343,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,134,82,676,267,794,343,714,295,0.0,0.0,0.0
True,False,0.0,0.0,205651,0,0,-5,5,2,4,0.0,0.0,0,164,0,2,False,28,263,65,201,2.5,False,220,1.0,False,,2,1,3,1238437,0,1409940,0,0,6.5,256,30.0,68,43,False,201,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255,52.6,6,3.05,0.52,3.57,5.82,0,0,0,0,0,0,0,349,33,276,31,134,32,287,33,,,,,,,0.46,0.0,0.08,0.54,0.87,0.75,43,20,759,67,216,25,200,32,0.9,0.3,39.927
True,False,0.0,0.0,226597,0,0,1,-1,2,2,0.0,0.0,0,164,0,3,False,13,462,61,281,4.2,False,750,12.2,False,,2,1,3,5093448,0,5431768,0,0,19.2,259,30.0,29,389,False,281,2363,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287,108.2,28,2.7,1.21,3.91,23.09,0,0,0,0,0,0,0,108,40,202,45,120,11,135,36,,,,,,,0.1,0.0,0.05,0.15,0.88,0.84,70,6,735,263,34,2,34,13,1.07,0.38,128.97909523809523
True,False,100.0,100.0,219847,0,0,-3,3,1,4,1.5,1.5,1,271,0,4,False,174,377,77,246,4.2,False,290,6.2,False,,0,1,3,2644355,0,3530099,0,0,12.6,308,80.0,358,218,False,246,1872,9,3,7,20,0,0,0,5,0,0,14,343,467.6,269.0,711,144.8,21,9.53,1.65,11.18,19.32,0,0,0,0,0,0,0,155,18,161,18,34,15,81,17,,,,,3.0,,0.46,0.0,0.08,0.54,0.93,0.96,14,4,790,83,36,10,61,13,1.01,0.34,99.77191666666667
True,False,0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,275,0,5,False,87,41,40,447,0.0,False,296,0.0,False,,4,1,3,0,0,4643,0,0,0.0,314,,409,618,False,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,612,68,599,57,558,38,612,68,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,667,53,106,36,619,68,643,71,0.0,0.0,0.0
True,False,0.0,0.0,445122,0,0,0,0,2,2,0.0,0.0,0,263,0,6,False,3,568,55,403,3.8,False,663,4.3,False,,2,1,3,1963751,0,1640941,0,0,20.7,354,152.0,197,337,False,403,2415,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254,94.2,27,1.23,1.3,2.53,21.09,0,0,0,0,0,0,0,186,69,145,29,135,15,158,41,,,,,,,0.05,0.0,0.05,0.1,0.79,0.78,115,12,695,259,63,8,88,32,1.01,0.41,113.49626190476192
True,False,100.0,100.0,85955,0,0,-4,4,0,3,1.8,1.5,0,249,0,7,False,174,488,46,782,1.3,False,238,0.2,False,,0,1,3,30982,0,50584,0,0,4.3,371,106.0,402,410,False,782,701,0,0,2,7,0,0,0,5,0,0,0,112,44.8,88.8,8,14.2,9,0.06,0.59,0.65,6.05,0,0,0,0,0,0,0,444,201,311,182,443,225,422,200,,,,,,,0.01,0.0,0.08,0.09,0.78,0.9,348,226,447,118,421,196,357,115,1.16,0.26,19.86
True,False,,,440854,0,0,-1,1,1,2,4.5,1.5,2,212,0,8,False,174,603,49,384,2.5,False,367,3.8,False,,0,1,3,518152,0,114231,0,0,8.8,399,172.0,301,293,False,384,1117,1,0,3,15,0,0,0,1,0,0,2,178,267.2,91.3,32,39.2,10,0.17,0.29,0.46,14.71,0,0,0,0,0,0,0,260,97,310,96,377,128,328,108,,,,,,,0.01,0.0,0.02,0.03,1.19,1.21,263,32,553,239,212,68,101,38,0.81,0.24,43.30623807771177
True,False,100.0,100.0,444145,0,0,-5,5,1,3,5.5,1.5,2,164,0,9,False,174,367,65,396,3.8,False,430,3.1,False,,0,1,3,1360840,0,1378390,0,0,19.2,467,30.0,210,359,False,396,2284,8,4,10,25,0,0,0,1,0,0,6,422,559.8,587.8,912,206.1,25,7.13,4.46,11.59,26.22,0,0,0,0,0,0,0,115,40,56,47,16,8,26,21,,,,,,,0.28,0.0,0.18,0.46,1.03,0.99,46,24,762,328,65,31,110,35,0.99,0.39,119.35371230158728
True,False,100.0,100.0,499175,0,0,-2,2,0,3,1.8,1.5,2,146,0,12,False,174,251,43,543,2.5,False,507,1.5,False,,0,1,3,735728,0,604768,0,0,15.3,542,241.0,239,417,False,543,882,4,2,4,4,0,0,0,1,0,0,4,251,293.2,282.8,255,83.0,11,1.19,1.78,2.97,5.38,0,0,0,0,0,0,0,244,110,156,109,133,88,191,101,,,,,,,0.12,0.0,0.18,0.3,0.55,0.41,592,344,242,7,205,86,165,53,1.12,0.41,67.1284828300784
